no,url,judul_dokumen,query_presiden,query_hoaks,query_ekonomi
1,https://www.liputan6.com/news/read/6317022/menhaj-sebut-persiapan-layanan-haji-2026-hampir-rampung,Menhaj Sebut Persiapan Layanan Haji 2026 Hampir Rampung,0,0,0
2,https://www.liputan6.com/news/read/6268683/gus-yahya-dukung-prabowo-gabung-dewan-perdamaian-gaza-kita-harus-hadir-di-semua-arena,Gus Yahya Dukung Prabowo Gabung Dewan Perdamaian Gaza Kita Harus Hadir di Semua Arena,1,0,0
3,https://www.liputan6.com/news/read/6268675/jokowi-respons-namanya-sering-disebut-di-kasus-korupsi-dari-tom-lembong-nadiem-sampai-kuota-haji,Jokowi Respons Namanya Sering Disebut di Kasus Korupsi dari Tom Lembong Nadiem sampai Kuota Haji,1,0,0
4,https://www.liputan6.com/news/read/6268634/polri-dalami-unsur-pidana-terkait-saham-gorengan-di-tengah-anjloknya-ihsg,Polri Dalami Unsur Pidana Terkait Saham Gorengan di Tengah Anjloknya IHSG,0,0,1
5,https://www.liputan6.com/news/read/6268670/gus-yahya-klaim-masalah-dengan-rais-aam-pbnu-selesai-kita-lihat-nu-guyub-lagi,Gus Yahya Klaim Masalah dengan Rais Aam PBNU Selesai Kita Lihat NU Guyub Lagi,0,0,0
6,https://www.liputan6.com/news/read/6268635/gus-yahya-saya-sama-sekali-tidak-terkait-kasus-kuota-haji,Gus Yahya Saya Sama Sekali Tidak Terkait Kasus Kuota Haji,0,0,0
7,https://www.liputan6.com/news/read/6268669/jokowi-akui-ada-pembicaraan-khusus-dengan-prabowo-di-taman-mini-ini-yang-dibahas,Jokowi Akui Ada Pembicaraan Khusus dengan Prabowo di Taman Mini Ini yang Dibahas,1,0,0
8,https://www.liputan6.com/news/read/6298543/gempa-hari-ini-minggu-15-maret-2026-dua-kali-getarkan-indonesia-dini-hari-tadi,Gempa Hari Ini Minggu 15 Maret 2026 Dua Kali Getarkan Indonesia Dini Hari Tadi,0,0,0
9,https://www.liputan6.com/news/read/6289528/ganjil-genap-jakarta-berlaku-selasa-3-maret-2026-jangan-sampai-salah-jadwal-dan-pelat-nomor,Ganjil Genap Jakarta Berlaku Selasa 3 Maret 2026 Jangan Sampai Salah Jadwal dan Pelat Nomor,0,0,0
10,https://www.liputan6.com/bisnis/read/6317597/perempuan-penggerak-desa-cerita-mantri-bri-di-lombok-yang-berdayakan-ekonomi-masyarakat-sekitar,Perempuan Penggerak Desa Cerita Mantri BRI di Lombok yang Berdayakan Ekonomi Masyarakat Sekitar,0,0,1
11,https://www.liputan6.com/bisnis/read/6317582/minyakita-langka-mendag-dmo-65-persen-masih-memungkinkan,Minyakita Langka Mendag DMO 65 Persen Masih Memungkinkan,0,0,0
12,https://www.liputan6.com/bisnis/read/6317512/menteri-ara-penguasaan-aset-negara-oleh-pihak-lain-bakal-ditindak,Menteri Ara Penguasaan Aset Negara oleh Pihak Lain Bakal Ditindak,0,0,1
13,https://www.liputan6.com/bisnis/read/6317510/jangan-cuma-wfh-mti-usul-pemerintah-gratiskan-angkutan-umum,Jangan Cuma WFH MTI Usul Pemerintah Gratiskan Angkutan Umum,0,0,1
14,https://www.liputan6.com/bisnis/read/6317482/bantah-klaim-hercules-menteri-ara-tegaskan-lahan-rusun-tanah-abang-aset-negara,Bantah Klaim Hercules Menteri Ara Tegaskan Lahan Rusun Tanah Abang Aset Negara,0,0,0
15,https://www.liputan6.com/bisnis/read/6317498/harga-emas-perhiasan-hari-ini-16-april-2026-simak-daftar-lengkap-di-sini,Harga Emas Perhiasan Hari Ini 16 April 2026 Simak Daftar Lengkap di Sini,0,0,0
16,https://www.liputan6.com/bisnis/read/6317270/harga-emas-antam-hari-ini-16-april-2026-lebih-murah-rp-5000-simak-rinciannya-di-sini,Harga Emas Antam Hari Ini 16 April 2026 Lebih Murah Rp 5000 Simak Rinciannya di Sini,0,0,0
17,https://www.liputan6.com/bisnis/read/6316639/imf-prediksi-pertumbuhan-ekonomi-indonesia-sentuh-5-pada-2026,IMF Prediksi Pertumbuhan Ekonomi Indonesia Sentuh 5 Persen pada 2026,0,0,1
